student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout
205631,Female,CIVIL,Y,Primary,-,24.0,4.08179151622143,75.8938894379048,32131,4.0,22.4,51,0,5,No,0
216897,Male,ME,,,,19.0,4.2275513463924,67.169353302553,26360,6.0,5.9,10,3,3,Yes,1
205436,,ME,Y,,N,25.0,5.22522420705913,60.9143317106608,15732,6.0,15.1,36,4,6,No,1
207353,FEMALE,ECE,,Postgraduate,-,26.0,4.47195034239574,74.5842176850286,42785,,17.3,3,1,2,Y,0
214784,M,COMMERCE,,,Yes,18.0,4.32231129484293,76.7299896621712,16049,2.0,24.9,35,3,8,No,0
203473,Male,BIO,N,,,25.0,4.26936751049058,71.5759282237722,68582,5.0,17.6,20,2,1,Y,1
209656,,,N,,Y,26.0,6.01314741218525,89.2925569035329,75144,2.0,8.6,21,3,9,No,0
207181,,COMMERCE,Nope,,N,,5.13765010249944,71.3443811463776,67847,4.0,21.7,56,3,9,No,0
202090,Male,,Nope,Graduate,N,17.0,4.30594952278298,73.1380447327841,84148,6.0,8.7,3,2,6,Yes,1
217123,Female,ME,N,Secondary,No,23.0,6.63710962576523,100.0,71972,3.0,19.4,35,1,6,No,0
206206,FEMALE,BIO,N,Primary,No,24.0,5.68729146627823,68.8815122912146,30004,2.0,15.8,16,0,1,Yes,0
219859,Female,BIO,,Primary,,18.0,5.98709450577678,77.4238178412831,54711,4.0,14.4,36,0,9,No,1
203984,Other,ME,No,,Y,19.0,6.43857409011954,100.0,36262,3.0,21.5,50,1,2,Yes,0
205230,,ARTS,Yes,Graduate,-,19.0,5.21465329294103,88.1630724280454,64468,5.0,6.4,25,1,6,Yes,0
209948,FEMALE,ARTS,No,,-,25.0,4.49662505044834,68.2107103280704,75499,3.0,8.8,45,3,3,Yes,1
201512,,ARTS,No,None,,18.0,6.10556974933315,77.2636355355734,63106,2.0,12.1,23,3,9,Yes,0
208527,Female,ME,N,Graduate,,25.0,4.76567763190228,68.7908252422234,27912,2.0,12.1,19,0,5,No,0
205314,M,CS,No,Secondary,,21.0,5.07374050536802,83.3386212253699,55795,2.0,23.8,33,0,2,No,0
214313,,ARTS,Nope,Graduate,-,24.0,6.51064161235491,79.0921811018129,64197,3.0,5.3,30,1,1,,0
206958,Female,CIVIL,Yes,,Y,26.0,4.48153013423528,67.6159745128207,24868,2.0,15.5,16,1,8,No,0
214400,,,Nope,Secondary,-,24.0,6.70824203777968,68.0370685670595,45804,3.0,5.3,4,4,0,Yes,0
211642,,CIVIL,,Graduate,Y,,5.80713495652908,75.0684770407461,61260,2.0,6.0,19,0,7,,0
209595,M,,Nope,,Y,17.0,6.45532292313366,65.5870358993046,56338,6.0,16.4,28,0,8,No,1
207752,M,ARTS,No,,N,23.0,5.13001569951415,76.6741304003604,40251,3.0,9.2,4,4,3,,0
200341,Male,COMMERCE,,,,,6.4753853293638,92.8824963973888,85451,5.0,7.8,8,1,9,,0
